id,title,units,category,year,sem,prerequisites,corequisites
ARTS 1,ARTS 1 (GE 1),3,GE,1,1,,
Eng 13,Eng 13 (GE 2),3,GE,1,1,,
Kas 1,Kas 1 (GE 3),3,GE,1,1,,
Soc Sci 1,Soc Sci 1 or 2 (GE 4),3,GE,1,1,,
Math 10,MATH 10 (GE 5),3,GE,1,1,,
PE 1,Physical Education,-2,PE,1,1,,
Fil 40,Fil 40 (GE 6),3,GE,1,2,,
Philo 1,Philo 1 (GE 7),3,GE,1,2,,
Speech 30,Speech 30 (GE 8),3,GE,1,2,,
Econ 11,Econ 11 (GE 9),3,GE,1,2,,
PA 101,PA 101,3,Core,1,2,,
POLSC 11,POLSC 11,3,Core,1,2,,
PE 2,Physical Education,-2,PE,1,2,,
Eng 30,Eng 30 (GE 10),3,GE,2,1,,
PA 102,PA 102,3,Core,2,1,,
PA 111,PA 111,3,Core,2,1,,
Acctg 1,Acctg 1,3,Core,2,1,,
Psych 101,Psych 101,3,Core,2,1,,
Non-PA Elective 1,Non-PA Elective,3,Elective,2,1,,
NSTP 1,NSTP,-3,NSTP,2,1,,
PE 3,Physical Education,-2,PE,2,1,,
PA 103,PA 103,3,Core,2,2,,
PA 112,PA 112,3,Core,2,2,,
PA 121,PA 121,3,Core,2,2,,
PA 141,PA 141,3,Core,2,2,,
Stat 101,Stat 101,3,Core,2,2,,
Non-PA Elective 2,Non-PA Elective,3,Elective,2,2,,
NSTP 2,NSTP,-3,NSTP,2,2,,
PE 4,Physical Education,-2,PE,2,2,,
STS 1,STS 1/DRMAPS (GE 11),3,GE,3,1,,
PA 104,PA 104,3,Core,3,1,,
PA 113,PA 113,3,Core,3,1,,
PA 131,PA 131,3,Core,3,1,,
PA 142,PA 142,3,Core,3,1,,
Non-PA Elective 3,Non-PA Elective,3,Elective,3,1,,
PA 105,PA 105,3,Core,3,2,,
PA 124,PA 124,3,Core,3,2,,
PA 143,PA 143,3,Core,3,2,,
PA 151,PA 151,3,Core,3,2,,
Non-PA Elective 4,Non-PA Elective,3,Elective,3,2,,
Non-PA Elective 5,Non-PA Elective,3,Elective,3,2,,
PA 181,PA 181 (midyear),6,Core,3,M,,
PA 106,PA 106,3,Core,4,1,,
PA 132,PA 132,3,Core,4,1,,
PA 152,PA 152,3,Core,4,1,,
PA 191a,PA 191 (1st take),3,Core,4,1,,
PA 199.1,PA 199.1,3,Core,4,1,,
Non-PA Elective 6,Non-PA Elective,3,Elective,4,1,,
PA 107,PA 107,3,Core,4,2,,
PA 108,PA 108,3,Core,4,2,,
PA 191b,PA 191 (2nd take),3,Core,4,2,,
PA 199.2,PA 199.2,3,Core,4,2,,
PI 100,PI 100,3,Core,4,2,,
