id,title,units,category,year,sem,prerequisites,corequisites
Kas 1,Kasaysayan ng Pilipinas (GE 1),3,GE,1,1,,
Speech 30,Public Speaking (GE 2),3,GE,1,1,,
ARTS 1,Critical Perspectives in the Arts (GE 3),3,GE,1,1,,
Philo 1,Philosophical Analysis (GE 4),3,GE,1,1,,
HRIM 110,Macro-Perspectives in HRRI,3,Core,1,1,,
HRIM 101,Introduction to Financial Accounting in HRRI,3,Core,1,1,,
PE 1,Physical Education,-2,PE,1,1,,
Soc Sci 1,Soc Sci 1 / Soc Sci 2 (GE 5),3,GE,1,2,,
Eng 13,Writing as Thinking (GE 6),3,GE,1,2,,
Env Sci 1,Environmental Science (GE 7),3,GE,1,2,,
Econ 11,General Economics (GE 8),3,GE,1,2,,
HRIM 120,Micro-Perspectives in HRRI,3,Core,1,2,,
Math 21,Elementary Analysis I,4,Core,1,2,Math 20,
Math 20,Precalculus (non-credit path),-4,Non-Credit,1,2,,
PE 2,Physical Education,-2,PE,1,2,,
Fil 40,Wika ng Pananaliksik (GE 9),3,GE,2,1,,
Stat 101,Elementary Statistics,3,Core,2,1,,
FS 105,Principles and Methods of Food Hygiene and Sanitation,3,Core,2,1,,
FN 11,Principles of Food Preparation,3,Core,2,1,,
HE 100,HE 100,3,Core,2,1,,
Elective 1,Qualified Elective (HRIM/Non-HRIM),3,Elective,2,1,,
PE 3,Physical Education,-2,PE,2,1,,
NSTP 1,National Service Training Program,-3,NSTP,2,1,,
STS 1,STS 1 / DRMAPS (GE 10),3,GE,2,2,,
HRIM 102,Rooms Division Management,3,Core,2,2,HRIM 120; HRIM 101,
HRIM 103,Nutrition in HRRI,3,Core,2,2,FN 11,
HRIM 106,Computers in the Management of HRRI,3,Core,2,2,,
HE 101,HE 101,3,Core,2,2,,
Elective 2,Qualified Elective (HRIM/Non-HRIM),3,Elective,2,2,,
PE 4,Physical Education,-2,PE,2,2,,
NSTP 2,National Service Training Program,-3,NSTP,2,2,,
HRIM 104,Food and Beverage Management I,5,Core,3,1,FN 11; FS 105; HRIM 120,
HRIM 105,Beverage Management I,3,Core,3,1,FN 11; HRIM 120,
HRIM 107,Management Information Systems for HRRI,3,Core,3,1,HRIM 106,
HRIM 109,Purchasing Management,3,Core,3,1,FN 11; HRIM 120,HRIM 104
HRIM 112,Business Management in HRRI,3,Core,3,1,,
HRIM 115,Management Accounting in HRRI,3,Core,3,1,,
HRIM 111,Food and Beverage Management II,5,Core,3,2,HRIM 105,
HRIM 127,Human Resource Management I,3,Core,3,2,HRIM 112,
HRIM 130,Cost Control and Analysis,3,Core,3,2,,
HRIM 160,HRIM 160 (Law),3,Core,3,2,,
HRIM 170,Marketing Management in HRRI I,3,Core,3,2,,
HRIM 141,Financial Management in HRRI,3,Core,3,2,HRIM 112; HRIM 115,
PI 100,The Life and Works of Jose Rizal,3,Core,4,1,,
HRIM 128,Facilities Planning and Design,4,Core,4,1,HRIM 170,
HRIM 138,Properties Management for HRRI,3,Core,4,1,HRIM 102,
HRIM 190,Strategic Management in HRRI,3,Core,4,1,HRIM 141; HRIM 170,
HRIM 199,Research in HRIM,3,Core,4,1,Stat 101,
HRIM 174,Practicum I,4,Core,4,2,,
HRIM 175,Practicum II,5,Core,4,2,,
