id,title,units,category,year,sem,prerequisites,corequisites
Math 2,Math 2 (GE 1),3,GE,1,1,,
Eng 13,Eng 13 (GE 2),3,GE,1,1,,
Tour 102,Tour 102,4,Core,1,1,,
Tour 110,Tour 110,3,Core,1,1,,
Tour 120,Tour 120,4,Core,1,1,,
PE 1,Physical Education,-2,PE,1,1,,
ARTS 1,ARTS 1 (GE 3),3,GE,1,2,,
Econ 11,Econ 11 (GE 4),3,GE,1,2,,
Kas 1,Kas 1 (GE 5),3,GE,1,2,,
Tour 112,Tour 112,3,Core,1,2,,
Tour 113,Tour 113,3,Core,1,2,,
Tour 161,Tour 161,3,Core,1,2,,
PE 2,Physical Education,-2,PE,1,2,,
NSTP,NSTP - CWTS 1 & 2,-6,NSTP,1,M,,
Philo 1,Philo 1 (GE 6),3,GE,2,1,,
Tour 114,Tour 114,3,Core,2,1,,
Tour 122,Tour 122,3,Core,2,1,,
Tour 130,Tour 130,3,Core,2,1,,
Tour 151,Tour 151,3,Core,2,1,,
Tour 181,Tour 181,3,Core,2,1,,
PE 3,Physical Education,-2,PE,2,1,,
Soc Sci 1,Soc Sci 1 (GE 7),3,GE,2,2,,
Fil 40,Fil 40 (GE 8),3,GE,2,2,,
Speech 30,Speech 30 (GE 9),3,GE,2,2,,
Tour 119,Tour 119,3,Core,2,2,,
Tour 153,Tour 153,3,Core,2,2,,
Tour 182,Tour 182,3,Core,2,2,,
PE 4,Physical Education,-2,PE,2,2,,
STS 1,STS 1 (GE 10),3,GE,3,1,,
Tour 131,Tour 131,3,Core,3,1,,
Tour 144,Tour 144,3,Core,3,1,,
Tour 175,Tour 175,5,Core,3,1,,
Elective 1,Elective,3,Elective,3,1,,
Elective 2,Elective,3,Elective,3,1,,
Tour 111,Tour 111,3,Core,3,2,,
Tour 126,Tour 126,3,Core,3,2,,
Tour 136,Tour 136,3,Core,3,2,,
Elective 3,Elective,3,Elective,3,2,,
Elective 4,Elective,3,Elective,3,2,,
Elective 5,Elective,3,Elective,3,2,,
Tour 109,"Tour 109 (Internship, midyear)",6,Core,3,M,,
Tour 121,Tour 121,3,Core,4,1,,
Tour 192,Tour 192,3,Core,4,1,,
Tour 199,Tour 199,3,Core,4,1,,
PI 100,PI 100,3,Core,4,1,,
Elective 6,Elective,3,Elective,4,1,,
Tour 115,Tour 115,3,Core,4,2,,
Tour 198,Tour 198,3,Core,4,2,,
Tour 200,Tour 200,3,Core,4,2,,
Elective 7,Elective,3,Elective,4,2,,
Elective 8,Elective,3,Elective,4,2,,
