Cohort Distribution,,,,,
Cohort (Started),Count,Avg. Credited Units,% of Total,,
1st Sem 21-22,9,128.6,3.35%,,
1st Sem 22-23,42,105.2,15.61%,,
1st Sem 23-24,46,78.4,17.10%,,
1st Sem 24-25,79,52.1,29.37%,,
1st Sem 25-26,93,30.5,34.57%,,
TOTAL,269,,100.00%,,
The program is growing---the two newest cohorts (2024-2025 and 2025-2026) together make up 64% of enrolled students.,,,,,
,,,,,
,,,,,
,,,,,
Academic Performance - Weighted Average Grade,,,,,
Average  WAG,1.81,,,,
Minimum WAG,1.00,perfect,,,
Maximum WAG,3.04,,,,
,,,,,
,,,,,
WAG Range,Count,%,,,
1.00-1.25,10,3.72%,,,
1.26-1.50,48,17.84%,,,
1.51-1.75,71,26.39%,,,
1.76-2.00,62,23.05%,,,
2.01-2.25,46,17.10%,,,
2.26-2.50,22,8.18%,,,
2.51-2.75,6,2.23%,,,
2.76-3.00,3,1.12%,,,
3.01+,1,0.37%,,,
,269,100.00%,,,
"About 72% of students have a WAG of 2.25 or better, indicating solid overall academic performance. The majority cluster in the 1.51-2.00 range.",,,,,
,,,,,
Performance by Cohort,,,,,
Cohort,n,Avg WAG,Avg Credited Units,Students w/ 5.00,Students with INC
1st Sem 21-22,9,1.657,128.6,3,3
1st Sem 22-23,42,1.796,122.2,25,12
1st Sem 23-24,46,1.864,88.6,27,16
1st Sem 24-25,79,1.815,61.8,47,14
1st Sem 25-26,93,1.824,30.5,41,22
The oldest cohort (21-22) has the best WAG (1.657) and is near completion. The high rate of 5.00 grades across middle cohorts (59%) is primarily driven by Math 21.,,,,,
,,,,,
Academic Progress - Credited Units,,,,,
Total Curriculum: 156 units required,,,,,
Units Completed,Count,%,,,
0-29,57,21.19%,,,
30-59,71,26.39%,,,
60-89,69,25.65%,,,
90-199,36,13.38%,,,
120-156,36,13.38%,,,
,269,100.00%,,,
36 students (13.4%) are near or at completion (120+ credited units),,,,,
57 students (21.2%) are in their early stages (<30 units) - consistent with the large incoming cohort,,,,,
,,,,,
,,,,,
Course Completion Rates,,,,,
Core HRIM Courses,Satisfied,%,,,
HRIM 110,267,99.26%,,,
HRIM 116,256,95.17%,,,
Stat 101,203,75.46%,,,
HRIM 120,182,67.66%,,,
Math 21,171,63.57%,,,
FS 105,170,63.20%,,,
HE 102,164,60.97%,,,
FN 102,159,59.11%,,,
HE 100,157,58.36%,,,
HRIM 132,148,55.02%,,,
HRIM 131,138,51.30%,,,
HE 100,132,49.07%,,,
HRIM 140,87,32.34%,,,
HRIM 144,86,31.97%,,,
HRIM 143,84,31.23%,,,
HRIM 142,83,30.86%,,,
HRIM 150-156 (group),65,24.16%,,,
PI 100,59,21.93%,,,
HRIM 160-163 (group),35,13.01%,,,
"HRIM 176-179, 200 (group)",25,9.29%,,,
"It is expected that almost all students at this point have already completed HRIM 110 (Macro Perspectives), as it is offered every first semester.",,,,,
"Almost 5% of the students have yet to pass HRIM 116 Introduction to Accounting, showing as an early sign of a bottleneck. However, HRIM 116 is offered both semesters to cater to non-HRIM students during 2nd semester.",,,,,
"More students have passed Stat 101 than Math 21, given that for non-STEM graduates, they are also required to pass a non-credit course Math 20.",,,,,
"The low completion rates for upper-level courses (HRIM 150+) are expected---these are taken in the later years of the program, and many students are still in their first or second year.",,,,,
,,,,,
PI 100 Completion by Cohort,,,,,
Cohort,PI 100 Satisfied,Cohort Count,,,
1st Sem 21-22,5,9,55.56%,,
1st Sem 22-23,20,42,47.62%,,
1st Sem 23-24,12,46,26.09%,,
1st Sem 24-25,15,79,18.99%,,
1st Sem 25-26,7,93,7.53%,,
"PI 100 appears to be frequently deferred, even among older cohorts. As the whole university is required to take this course, limited slots become available. In the curriculum, the students are advised to take the course during the midyear after their third year. The students in the younger cohorts who have already taken the course are either transferees from another UP Campus, or shiftees from another program within UP Diliman.",,,,,
,,,,,
,,,,,
Academic Risk Indicators,,,,,
Math 21 - Major Bottleneck,,,,,
Math 21 is the single most problematic course in the curriculum:,,,,,
84 students (31%) have recorded 5.0 (failing) grade in Math 21,,,,,
83 students (31%) had to repeat Math 21 at least once,,,,,
"This represents a significant disruption to normal progression, as Math 21, along with Stat 101, is a prerequisite to HRIM 131, which is also the gateway to HRIM 150 series. ",,,,,
,,,,,
Incomplete Grades (INC),,,,,
67 students (24.9%) have at least one INC grade on record.,,,,,
,,,,,
Dropped Courses (DRP),,,,,
140 students (52%) have at least one DRP (dropped course) on record,,,,,
High DRP rates in Math 21 suggest students are strategically withdrawing to avoid failing.,,,,,
,,,,,
,,,,,
Top Academic Performers,,,,,
Students with WAG <= 1.50 and at least 60 credited units (2nd year and above),,,,,
Student (anonymized),WAG,Credited Units,,,
BSHRIM-144,1.282,63,,,
BSHRIM-155,1.292,101,,,
BSHRIM-048,1.315,134,,,
BSHRIM-010,1.353,75,,,
BSHRIM-078,1.358,146,,,
BSHRIM-006,1.36,146,,,
BSHRIM-119,1.366,67,,,
BSHRIM-145,1.371,101,,,
BSHRIM-029,1.385,146,,,
BSHRIM-021,1.386,107,,,
,,,,,
,,,,,
Key Takeaways,,,,,
"Math 21 is a critical pain point. Nearly 1 in 3 students has failed it at least once, and over half of all students have a DRP on their record (largely from Math 21). Targeted support (tutorials, bridging programs) could significantly improve throughput.",,,,,
Overall academic health is good. The average WAG of 1.81 is strong. About 72% of students are at 2.25 or better.,,,,,
36 students are near graduation (120+ units). Most are from the 21-22 and 22-23 cohorts and have WAGs in the 1.35-1.97 range.,,,,,
